dc_id,sku_id,category,physical_stock,in_transit_stock,effective_stock,avg_daily_sales,sales_trend_7d,projected_daily_sales,hourly_sales,safety_stock,stock_to_sales_ratio,days_of_cover,day_of_week,is_weekend,hour_of_day,lead_time_hours,projected_48h_sales,expected_stock_at_48h,hours_until_shortage,will_shortage
DC-02,SKU-008,antiviral,51,39,90,27.63,1.063,29.38,1.224,14,3.064,3.06,3,0,4,12,58.75,31.25,48.0,0
DC-01,SKU-009,antiviral,67,14,81,25.67,0.981,25.18,1.0493,12,3.217,3.22,3,0,7,12,50.36,30.64,48.0,0
DC-04,SKU-011,cardiac,128,0,128,84.15,1.451,122.09,5.087,61,1.048,1.05,2,0,9,18,244.17,-116.17,13.17,1
DC-04,SKU-007,antiviral,112,1,113,34.3,0.709,24.32,1.0135,12,4.646,4.65,4,0,17,24,48.65,64.35,48.0,0
DC-04,SKU-011,cardiac,113,183,296,116.72,1.378,160.81,6.7005,80,1.841,1.84,5,1,23,48,321.62,-25.62,32.24,1
DC-03,SKU-006,antibiotic,0,67,67,101.88,0.853,86.91,3.6213,43,0.771,0.77,4,0,20,36,173.82,-106.82,6.63,0
DC-01,SKU-012,antiviral,160,69,229,106.16,0.653,69.34,2.8893,34,3.302,3.3,5,1,15,12,138.68,90.32,48.0,0
DC-02,SKU-006,antibiotic,21,0,21,31.72,1.049,33.26,1.386,16,0.631,0.63,0,0,0,18,66.53,-45.53,3.61,1
DC-01,SKU-004,reefer,679,187,866,108.27,0.775,83.94,3.4976,41,10.317,10.32,4,0,22,36,167.88,698.12,48.0,0
DC-03,SKU-013,reefer,21,22,43,7.9,0.972,7.68,0.3202,3,5.596,5.6,4,0,10,12,15.37,27.63,48.0,0
DC-02,SKU-007,antiviral,233,0,233,91.57,0.944,86.44,3.6018,43,2.695,2.7,4,0,16,18,172.89,60.11,48.0,0
DC-05,SKU-010,reefer,75,22,97,93.17,1.322,123.18,5.1326,61,0.787,0.79,0,0,7,24,246.36,-149.36,7.01,1
DC-05,SKU-007,antiviral,45,0,45,15.5,0.651,10.1,0.4207,5,4.457,4.46,5,1,16,12,20.19,24.81,48.0,0
DC-04,SKU-002,reefer,453,75,528,115.58,0.768,88.81,3.7003,44,5.945,5.95,4,0,17,18,177.61,350.39,48.0,0
DC-05,SKU-010,reefer,185,46,231,45.11,1.5,67.66,2.8192,33,3.414,3.41,6,1,14,12,135.32,95.68,48.0,0
DC-01,SKU-009,antiviral,54,46,100,32.15,0.752,24.17,1.0072,12,4.137,4.14,5,1,3,24,48.35,51.65,48.0,0
DC-05,SKU-002,reefer,232,31,263,98.05,0.757,74.26,3.0942,37,3.542,3.54,0,0,16,12,148.52,114.48,48.0,0
DC-05,SKU-014,antibiotic,14,2,16,24.63,1.226,30.18,1.2574,15,0.53,0.53,6,1,12,12,60.36,-44.36,0.8,1
DC-01,SKU-014,antibiotic,260,0,260,79.0,1.272,100.46,4.1859,50,2.588,2.59,0,0,0,18,200.92,59.08,48.0,0
DC-05,SKU-001,cardiac,169,6,175,59.94,1.351,80.98,3.3744,40,2.161,2.16,3,0,14,36,161.97,13.03,40.01,1
DC-05,SKU-006,antibiotic,294,26,320,118.83,1.19,141.41,5.8922,70,2.263,2.26,6,1,1,18,282.83,37.17,42.43,1
DC-04,SKU-015,cardiac,277,27,304,90.66,1.108,100.45,4.1855,50,3.026,3.03,2,0,17,24,200.9,103.1,48.0,0
DC-03,SKU-015,cardiac,15,0,15,39.65,0.747,29.61,1.2339,14,0.507,0.51,2,0,1,24,59.23,-44.23,0.81,1
DC-04,SKU-003,antiviral,172,0,172,56.15,1.309,73.5,3.0624,36,2.34,2.34,5,1,21,24,146.99,25.01,44.41,1
DC-04,SKU-014,antibiotic,108,15,123,92.84,1.34,124.39,5.183,62,0.989,0.99,3,0,22,12,248.78,-125.78,11.77,1
DC-02,SKU-009,antiviral,32,3,35,9.65,0.848,8.18,0.341,4,4.277,4.28,0,0,14,24,16.37,18.63,48.0,1
DC-05,SKU-010,reefer,0,17,17,67.57,0.827,55.85,2.3272,27,0.304,0.3,4,0,21,18,111.71,-94.71,0.0,1
DC-05,SKU-010,reefer,153,55,208,60.4,0.815,49.22,2.0509,24,4.226,4.23,1,0,12,24,98.44,109.56,48.0,0
DC-03,SKU-006,antibiotic,525,56,581,109.02,0.758,82.67,3.4445,41,7.028,7.03,6,1,10,12,165.34,415.66,48.0,0
DC-03,SKU-001,cardiac,48,0,48,36.09,1.23,44.39,1.8495,22,1.081,1.08,0,0,8,36,88.77,-40.77,14.06,1
DC-04,SKU-005,reefer,337,104,441,95.81,1.366,130.91,5.4548,65,3.369,3.37,6,1,9,48,261.83,179.17,48.0,0
DC-01,SKU-001,cardiac,117,74,191,105.3,1.099,115.7,4.821,57,1.651,1.65,1,0,14,12,231.41,-40.41,27.79,1
DC-03,SKU-010,reefer,46,10,56,16.75,1.354,22.69,0.9453,11,2.468,2.47,5,1,13,36,45.38,10.62,47.6,1
DC-03,SKU-013,reefer,229,0,229,63.15,0.876,55.34,2.3057,27,4.138,4.14,5,1,17,36,110.67,118.33,48.0,0
DC-05,SKU-004,reefer,41,0,41,21.59,0.886,19.12,0.7965,9,2.145,2.14,1,0,3,36,38.23,2.77,40.18,1
DC-03,SKU-001,cardiac,192,339,531,86.49,0.91,78.72,3.28,39,6.745,6.75,4,0,19,18,157.44,373.56,48.0,0
DC-04,SKU-004,reefer,31,4,35,16.96,0.89,15.08,0.6285,7,2.32,2.32,5,1,15,18,30.17,4.83,44.55,1
DC-04,SKU-001,cardiac,14,2,16,56.98,1.331,75.86,3.1607,37,0.211,0.21,0,0,14,24,151.71,-135.71,0.0,1
DC-04,SKU-012,antiviral,57,4,61,23.15,0.902,20.88,0.87,10,2.921,2.92,0,0,19,18,41.76,19.24,48.0,0
DC-05,SKU-008,antiviral,267,8,275,48.31,1.446,69.87,2.9113,34,3.936,3.94,6,1,23,36,139.74,135.26,48.0,1
DC-01,SKU-006,antibiotic,66,4,70,31.94,1.156,36.92,1.5382,18,1.896,1.9,3,0,21,18,73.83,-3.83,33.81,1
DC-05,SKU-013,reefer,71,0,71,16.51,0.658,10.85,0.4522,5,6.542,6.54,6,1,21,12,21.71,49.29,48.0,1
DC-04,SKU-007,antiviral,380,0,380,90.36,1.103,99.65,4.1521,49,3.813,3.81,4,0,12,48,199.3,180.7,48.0,1
DC-03,SKU-004,reefer,88,20,108,42.42,0.862,36.57,1.5237,18,2.953,2.95,3,0,15,18,73.14,34.86,48.0,0
DC-05,SKU-006,antibiotic,148,0,148,69.89,0.614,42.9,1.7876,21,3.45,3.45,0,0,2,36,85.8,62.2,48.0,0
DC-05,SKU-004,reefer,202,96,298,39.89,0.921,36.74,1.5307,18,8.112,8.11,1,0,6,18,73.47,224.53,48.0,0
DC-03,SKU-012,antiviral,0,24,24,104.04,0.653,67.93,2.8303,33,0.353,0.35,4,0,1,24,135.85,-111.85,0.0,1
DC-05,SKU-001,cardiac,112,11,123,66.47,1.482,98.48,4.1034,49,1.249,1.25,4,0,17,12,196.96,-73.96,18.03,1
DC-03,SKU-001,cardiac,206,0,206,84.33,0.986,83.15,3.4647,41,2.477,2.48,5,1,3,12,166.31,39.69,47.62,1
DC-05,SKU-005,reefer,376,0,376,107.02,1.21,129.52,5.3968,64,2.903,2.9,5,1,10,36,259.04,116.96,48.0,0
DC-03,SKU-003,antiviral,431,0,431,86.06,0.895,77.04,3.2102,38,5.594,5.59,3,0,5,18,154.09,276.91,48.0,0
DC-04,SKU-013,reefer,214,116,330,67.48,0.821,55.4,2.3085,27,5.956,5.96,4,0,12,48,110.81,219.19,48.0,0
DC-02,SKU-008,antiviral,48,49,97,27.04,0.632,17.08,0.7116,8,5.68,5.68,0,0,15,36,34.16,62.84,48.0,0
DC-01,SKU-013,reefer,100,1,101,40.27,1.044,42.06,1.7526,21,2.401,2.4,4,0,21,24,84.13,16.87,45.65,1
DC-03,SKU-004,reefer,101,0,101,34.69,0.965,33.46,1.3941,16,3.019,3.02,0,0,9,24,66.92,34.08,48.0,0
DC-04,SKU-014,antibiotic,68,26,94,96.54,0.982,94.77,3.9486,47,0.992,0.99,4,0,19,18,189.53,-95.53,11.9,1
DC-03,SKU-015,cardiac,116,0,116,87.89,0.855,75.19,3.1329,37,1.543,1.54,5,1,6,24,150.38,-34.38,25.22,1
DC-03,SKU-004,reefer,26,0,26,7.97,1.354,10.79,0.4496,5,2.409,2.41,4,0,21,18,21.58,4.42,46.7,1
DC-01,SKU-003,antiviral,35,0,35,66.59,0.681,45.37,1.8904,22,0.771,0.77,3,0,10,24,90.74,-55.74,6.88,1
DC-05,SKU-008,antiviral,38,27,65,16.88,0.853,14.4,0.5998,7,4.515,4.52,3,0,13,24,28.79,36.21,48.0,0
DC-04,SKU-003,antiviral,54,0,54,42.34,1.163,49.24,2.0515,24,1.097,1.1,0,0,19,24,98.47,-44.47,14.62,1
DC-02,SKU-001,cardiac,137,70,207,119.12,0.679,80.88,3.3699,40,2.559,2.56,3,0,21,24,161.75,45.25,48.0,0
DC-01,SKU-005,reefer,57,0,57,49.24,1.389,68.38,2.8493,34,0.834,0.83,4,0,8,24,136.76,-79.76,8.07,1
DC-04,SKU-003,antiviral,302,0,302,84.33,1.218,102.71,4.2797,51,2.94,2.94,5,1,8,6,205.42,96.58,48.0,0
DC-02,SKU-006,antibiotic,85,4,89,86.7,1.081,93.74,3.9059,46,0.949,0.95,1,0,20,24,187.48,-98.48,11.01,1
DC-02,SKU-008,antiviral,143,0,143,85.85,1.218,104.52,4.355,52,1.368,1.37,6,1,12,18,209.04,-66.04,20.9,1
DC-04,SKU-014,antibiotic,0,145,145,56.26,0.677,38.1,1.5876,19,3.806,3.81,4,0,5,18,76.2,68.8,48.0,0
DC-01,SKU-003,antiviral,227,0,227,63.7,0.604,38.48,1.6035,19,5.899,5.9,6,1,18,24,76.97,150.03,48.0,0
DC-05,SKU-004,reefer,0,0,0,35.18,1.193,41.95,1.7479,20,0.0,0.0,2,0,9,6,83.9,-83.9,0.0,1
DC-02,SKU-007,antiviral,217,0,217,68.08,0.636,43.27,1.8027,21,5.015,5.02,2,0,18,6,86.53,130.47,48.0,0
DC-05,SKU-004,reefer,268,0,268,80.89,0.666,53.87,2.2447,26,4.975,4.97,4,0,20,24,107.74,160.26,48.0,0
DC-05,SKU-009,antiviral,171,0,171,61.12,0.666,40.7,1.6957,20,4.202,4.2,4,0,15,24,81.4,89.6,48.0,0
DC-02,SKU-003,antiviral,190,0,190,109.34,0.745,81.5,3.396,40,2.331,2.33,4,0,23,18,163.01,26.99,44.17,0
DC-02,SKU-013,reefer,302,0,302,91.93,1.363,125.29,5.2202,62,2.41,2.41,1,0,5,12,250.57,51.43,45.98,1
DC-05,SKU-003,antiviral,123,29,152,72.73,0.737,53.6,2.2335,26,2.836,2.84,6,1,6,12,107.21,44.79,48.0,0
DC-04,SKU-009,antiviral,145,0,145,44.45,1.127,50.09,2.087,25,2.895,2.89,5,1,10,18,100.18,44.82,48.0,0
DC-02,SKU-006,antibiotic,329,109,438,61.44,0.806,49.51,2.063,24,8.846,8.85,5,1,15,12,99.02,338.98,48.0,0
DC-05,SKU-012,antiviral,0,8,8,115.93,0.605,70.16,2.9235,35,0.114,0.11,4,0,1,24,140.33,-132.33,0.0,1
DC-04,SKU-009,antiviral,60,93,153,32.4,1.4,45.38,1.8907,22,3.372,3.37,2,0,5,12,90.75,62.25,48.0,0
DC-05,SKU-003,antiviral,252,63,315,82.09,1.09,89.5,3.7292,44,3.52,3.52,2,0,4,24,179.0,136.0,48.0,0
DC-03,SKU-014,antibiotic,0,0,0,69.47,0.607,42.14,1.7559,21,0.0,0.0,0,0,8,24,84.28,-84.28,0.0,1
DC-05,SKU-002,reefer,170,0,170,60.78,1.192,72.43,3.018,36,2.347,2.35,4,0,14,36,144.86,25.14,44.4,1
DC-05,SKU-007,antiviral,0,33,33,108.32,1.038,112.39,4.683,56,0.294,0.29,5,1,5,48,224.78,-191.78,0.0,1
DC-05,SKU-006,antibiotic,363,0,363,86.92,0.871,75.7,3.1543,37,4.795,4.8,4,0,14,24,151.41,211.59,48.0,0
DC-04,SKU-005,reefer,122,4,126,27.88,1.017,28.35,1.1812,14,4.445,4.44,2,0,0,36,56.7,69.3,48.0,0
DC-02,SKU-008,antiviral,108,0,108,34.47,1.249,43.03,1.793,21,2.51,2.51,4,0,0,18,86.06,21.94,48.0,0
DC-03,SKU-002,reefer,188,31,219,70.1,0.893,62.59,2.6079,31,3.499,3.5,1,0,8,24,125.18,93.82,48.0,1
DC-01,SKU-010,reefer,623,7,630,112.66,0.859,96.83,4.0346,48,6.506,6.51,4,0,8,18,193.66,436.34,48.0,0
DC-04,SKU-014,antibiotic,355,0,355,75.44,0.807,60.9,2.5374,30,5.829,5.83,1,0,0,12,121.8,233.2,48.0,0
DC-03,SKU-007,antiviral,51,0,51,38.14,1.499,57.18,2.3824,28,0.892,0.89,2,0,19,12,114.35,-63.35,9.65,1
DC-01,SKU-007,antiviral,397,34,431,90.98,0.608,55.29,2.3039,27,7.795,7.79,6,1,4,18,110.59,320.41,48.0,0
DC-02,SKU-015,cardiac,254,93,347,54.44,0.793,43.15,1.798,21,8.042,8.04,3,0,7,18,86.3,260.7,48.0,0
DC-03,SKU-013,reefer,76,60,136,25.93,1.058,27.44,1.1433,13,4.956,4.96,0,0,17,6,54.88,81.12,48.0,0
DC-04,SKU-007,antiviral,266,138,404,92.93,1.208,112.29,4.6789,56,3.598,3.6,4,0,17,36,224.59,179.41,48.0,0
DC-05,SKU-006,antibiotic,39,3,42,26.76,0.887,23.74,0.9894,11,1.769,1.77,0,0,18,6,47.49,-5.49,31.33,1
DC-04,SKU-007,antiviral,146,258,404,72.69,1.399,101.69,4.237,50,3.973,3.97,0,0,12,36,203.38,200.62,48.0,0
DC-03,SKU-008,antiviral,191,0,191,87.92,1.356,119.24,4.9684,59,1.602,1.6,6,1,6,12,238.48,-47.48,26.57,1
DC-04,SKU-012,antiviral,168,38,206,58.66,1.282,75.21,3.134,37,2.739,2.74,4,0,22,24,150.43,55.57,48.0,0
DC-05,SKU-005,reefer,44,0,44,11.54,0.762,8.79,0.3662,4,5.006,5.01,6,1,18,48,17.58,26.42,48.0,0
DC-04,SKU-005,reefer,88,49,137,68.06,0.922,62.77,2.6156,31,2.182,2.18,0,0,1,24,125.55,11.45,40.53,1
DC-03,SKU-007,antiviral,362,0,362,110.37,0.884,97.61,4.067,48,3.709,3.71,4,0,8,36,195.21,166.79,48.0,0
DC-04,SKU-013,reefer,171,0,171,80.87,1.065,86.15,3.5897,43,1.985,1.98,1,0,23,18,172.31,-1.31,35.66,1
DC-03,SKU-005,reefer,144,0,144,58.32,0.952,55.5,2.3126,27,2.594,2.59,1,0,11,18,111.01,32.99,48.0,0
DC-02,SKU-009,antiviral,86,0,86,61.93,1.313,81.32,3.3885,40,1.057,1.06,3,0,11,24,162.65,-76.65,13.58,1
DC-05,SKU-005,reefer,0,24,24,63.94,1.21,77.37,3.2239,38,0.31,0.31,2,0,22,18,154.75,-130.75,0.0,1
DC-04,SKU-011,cardiac,309,84,393,71.36,0.918,65.53,2.7305,32,5.997,6.0,5,1,3,18,131.06,261.94,48.0,0
DC-04,SKU-008,antiviral,25,4,29,13.51,0.685,9.26,0.3857,4,3.133,3.13,1,0,5,18,18.52,10.48,48.0,0
DC-03,SKU-002,reefer,32,0,32,115.47,0.691,79.81,3.3255,39,0.401,0.4,0,0,21,18,159.62,-127.62,0.0,1
DC-05,SKU-005,reefer,181,0,181,82.89,1.147,95.06,3.961,47,1.904,1.9,0,0,5,48,190.13,-9.13,33.83,0
DC-04,SKU-015,cardiac,332,0,332,80.57,1.092,87.99,3.6661,43,3.773,3.77,1,0,2,12,175.97,156.03,48.0,0
DC-04,SKU-005,reefer,92,19,111,44.61,0.912,40.7,1.6958,20,2.727,2.73,2,0,4,12,81.4,29.6,48.0,0
DC-05,SKU-009,antiviral,53,41,94,41.77,0.915,38.23,1.593,19,2.459,2.46,6,1,3,24,76.47,17.53,47.08,1
DC-01,SKU-004,reefer,210,15,225,109.37,0.813,88.87,3.703,44,2.532,2.53,2,0,1,12,177.75,47.25,48.0,0
DC-01,SKU-011,cardiac,360,0,360,81.15,1.389,112.75,4.6979,56,3.193,3.19,3,0,23,36,225.5,134.5,48.0,0
DC-03,SKU-005,reefer,142,0,142,80.55,1.058,85.21,3.5504,42,1.666,1.67,2,0,5,48,170.42,-28.42,28.17,1
DC-04,SKU-011,cardiac,76,6,82,17.67,1.457,25.74,1.0726,12,3.185,3.19,3,0,23,24,51.49,30.51,48.0,0
DC-05,SKU-010,reefer,213,0,213,69.59,1.039,72.31,3.013,36,2.946,2.95,5,1,17,24,144.62,68.38,48.0,1
DC-03,SKU-013,reefer,191,0,191,49.68,0.777,38.59,1.6079,19,4.949,4.95,2,0,6,6,77.18,113.82,48.0,0
DC-05,SKU-011,cardiac,76,78,154,36.84,0.701,25.82,1.0758,12,5.964,5.96,1,0,8,24,51.64,102.36,48.0,0
DC-02,SKU-013,reefer,118,8,126,31.95,0.67,21.41,0.8919,10,5.886,5.89,4,0,6,36,42.81,83.19,48.0,0
DC-04,SKU-006,antibiotic,328,82,410,103.24,0.677,69.86,2.9108,34,5.869,5.87,3,0,20,48,139.72,270.28,48.0,0
DC-01,SKU-005,reefer,80,59,139,97.85,1.226,119.99,4.9995,59,1.158,1.16,5,1,23,48,239.98,-100.98,16.0,1
DC-03,SKU-008,antiviral,185,0,185,58.42,0.602,35.18,1.4657,17,5.259,5.26,0,0,0,18,70.35,114.65,48.0,0
DC-02,SKU-001,cardiac,488,5,493,99.19,0.92,91.25,3.8019,45,5.403,5.4,1,0,10,24,182.49,310.51,48.0,0
DC-02,SKU-007,antiviral,358,0,358,112.52,0.79,88.88,3.7034,44,4.028,4.03,0,0,15,36,177.76,180.24,48.0,0
DC-01,SKU-013,reefer,62,4,66,16.66,0.795,13.25,0.5522,6,4.98,4.98,2,0,22,48,26.5,39.5,48.0,0
DC-01,SKU-015,cardiac,189,0,189,60.01,1.226,73.55,3.0648,36,2.57,2.57,5,1,23,48,147.11,41.89,48.0,0
DC-03,SKU-006,antibiotic,336,92,428,114.47,1.407,161.05,6.7104,80,2.658,2.66,5,1,13,24,322.1,105.9,48.0,0
DC-05,SKU-012,antiviral,90,36,126,74.33,1.135,84.36,3.5148,42,1.494,1.49,1,0,21,6,168.71,-42.71,23.9,1
DC-01,SKU-009,antiviral,48,0,48,25.43,1.218,30.97,1.2904,15,1.55,1.55,3,0,0,6,61.94,-13.94,25.57,1
DC-05,SKU-015,cardiac,102,15,117,46.32,1.208,55.95,2.3314,27,2.091,2.09,3,0,22,18,111.91,5.09,38.6,1
DC-05,SKU-013,reefer,111,0,111,43.89,1.337,58.69,2.4456,29,1.891,1.89,3,0,9,36,117.39,-6.39,33.53,1
DC-01,SKU-007,antiviral,143,0,143,43.04,0.664,28.56,1.1902,14,5.006,5.01,0,0,20,48,57.13,85.87,48.0,0
DC-01,SKU-002,reefer,12,54,66,19.17,1.019,19.53,0.8136,9,3.38,3.38,0,0,16,18,39.05,26.95,48.0,0
DC-03,SKU-005,reefer,124,15,139,95.84,1.06,101.61,4.2337,50,1.368,1.37,0,0,13,6,203.22,-64.22,21.02,1
DC-02,SKU-012,antiviral,0,0,0,3.33,1.104,3.68,0.1533,1,0.0,0.0,4,0,11,12,7.36,-7.36,0.0,1
DC-02,SKU-007,antiviral,411,7,418,69.04,1.007,69.55,2.898,34,6.01,6.01,0,0,4,12,139.1,278.9,48.0,0
DC-04,SKU-015,cardiac,14,3,17,16.96,0.625,10.6,0.4416,5,1.604,1.6,3,0,1,36,21.2,-4.2,27.17,1
DC-05,SKU-005,reefer,183,102,285,46.51,1.451,67.47,2.8115,33,4.224,4.22,4,0,3,36,134.95,150.05,48.0,0
DC-02,SKU-005,reefer,553,35,588,109.69,1.019,111.78,4.6575,55,5.26,5.26,2,0,13,48,223.56,364.44,48.0,0
DC-01,SKU-005,reefer,67,0,67,20.67,1.2,24.8,1.0334,12,2.701,2.7,1,0,10,18,49.6,17.4,48.0,0
DC-03,SKU-011,cardiac,19,0,19,12.4,0.984,12.2,0.5085,6,1.557,1.56,0,0,17,24,24.41,-5.41,25.56,1
DC-03,SKU-011,cardiac,120,229,349,60.84,1.309,79.63,3.3181,39,4.383,4.38,0,0,16,18,159.27,189.73,48.0,0
DC-05,SKU-001,cardiac,176,0,176,66.17,0.824,54.49,2.2704,27,3.23,3.23,5,1,4,24,108.98,67.02,48.0,0
DC-03,SKU-005,reefer,178,0,178,98.24,1.466,143.99,5.9995,71,1.236,1.24,0,0,8,12,287.98,-109.98,17.83,1
DC-04,SKU-014,antibiotic,198,6,204,40.87,0.863,35.26,1.4693,17,5.785,5.79,6,1,18,18,70.53,133.47,48.0,0
DC-05,SKU-004,reefer,65,0,65,16.22,0.912,14.8,0.6165,7,4.393,4.39,3,0,7,18,29.59,35.41,48.0,1
DC-01,SKU-003,antiviral,77,0,77,43.66,1.073,46.84,1.9518,23,1.644,1.64,0,0,4,48,93.69,-16.69,27.67,1
DC-01,SKU-009,antiviral,77,44,121,68.7,0.612,42.02,1.7508,21,2.88,2.88,4,0,16,12,84.04,36.96,48.0,0
DC-01,SKU-002,reefer,123,20,143,34.12,0.653,22.3,0.9291,11,6.413,6.41,6,1,10,48,44.6,98.4,48.0,0
DC-02,SKU-007,antiviral,83,49,132,33.45,0.602,20.12,0.8385,10,6.559,6.56,3,0,22,18,40.25,91.75,48.0,0
DC-03,SKU-011,cardiac,150,174,324,50.78,0.83,42.16,1.7565,21,7.686,7.69,4,0,11,24,84.31,239.69,48.0,0
DC-02,SKU-009,antiviral,121,49,170,59.94,1.289,77.27,3.2195,38,2.2,2.2,4,0,11,48,154.53,15.47,41.0,1
DC-04,SKU-012,antiviral,40,0,40,11.29,1.176,13.28,0.5533,6,3.012,3.01,3,0,15,36,26.56,13.44,48.0,0
DC-02,SKU-010,reefer,11,0,11,5.99,1.348,8.08,0.3368,4,1.361,1.36,1,0,10,24,16.16,-5.16,20.79,1
DC-04,SKU-003,antiviral,173,14,187,58.36,1.187,69.28,2.8865,34,2.699,2.7,6,1,5,24,138.55,48.45,48.0,0
DC-02,SKU-010,reefer,96,0,96,32.96,1.35,44.48,1.8535,22,2.158,2.16,6,1,12,12,88.97,7.03,39.93,1
DC-03,SKU-001,cardiac,219,0,219,89.28,1.394,124.43,5.1848,62,1.76,1.76,1,0,9,36,248.87,-29.87,30.28,1
DC-01,SKU-002,reefer,130,15,145,52.76,0.808,42.64,1.7767,21,3.401,3.4,5,1,2,12,85.28,59.72,48.0,0
DC-03,SKU-014,antibiotic,115,0,115,20.43,0.65,13.28,0.5534,6,8.658,8.66,4,0,0,24,26.56,88.44,48.0,0
DC-02,SKU-012,antiviral,22,6,28,59.25,0.676,40.03,1.668,20,0.699,0.7,1,0,9,48,80.07,-52.07,4.8,1
DC-02,SKU-015,cardiac,216,0,216,57.74,1.178,68.04,2.8349,34,3.175,3.17,3,0,13,24,136.07,79.93,48.0,1
DC-04,SKU-011,cardiac,176,38,214,88.38,0.659,58.21,2.4254,29,3.676,3.68,6,1,7,24,116.42,97.58,48.0,0
DC-02,SKU-007,antiviral,393,127,520,85.06,0.789,67.12,2.7969,33,7.747,7.75,4,0,21,36,134.25,385.75,48.0,0
DC-01,SKU-002,reefer,120,10,130,50.07,0.902,45.15,1.8811,22,2.88,2.88,1,0,11,12,90.29,39.71,48.0,0
DC-03,SKU-008,antiviral,471,127,598,84.89,1.045,88.72,3.6966,44,6.74,6.74,0,0,9,18,177.44,420.56,48.0,0
DC-05,SKU-012,antiviral,185,63,248,54.32,1.089,59.13,2.4638,29,4.194,4.19,1,0,21,48,118.26,129.74,48.0,0
DC-03,SKU-009,antiviral,542,27,569,106.27,0.954,101.36,4.2234,50,5.614,5.61,4,0,17,18,202.72,366.28,48.0,0
DC-04,SKU-005,reefer,87,72,159,110.19,0.674,74.27,3.0946,37,2.141,2.14,1,0,11,18,148.54,10.46,39.42,1
DC-01,SKU-011,cardiac,101,25,126,109.68,1.01,110.74,4.614,55,1.138,1.14,1,0,16,18,221.47,-95.47,15.39,1
DC-02,SKU-004,reefer,46,0,46,15.55,0.615,9.57,0.3986,4,4.808,4.81,0,0,20,18,19.13,26.87,48.0,0
DC-02,SKU-001,cardiac,88,4,92,80.91,0.977,79.02,3.2927,39,1.164,1.16,6,1,5,18,158.05,-66.05,16.1,0
DC-01,SKU-015,cardiac,178,22,200,50.7,0.883,44.76,1.8649,22,4.469,4.47,5,1,5,24,89.51,110.49,48.0,0
DC-02,SKU-002,reefer,61,3,64,28.63,0.991,28.36,1.1818,14,2.256,2.26,6,1,10,12,56.73,7.27,42.31,1
DC-04,SKU-015,cardiac,186,8,194,73.83,1.211,89.37,3.7237,44,2.171,2.17,0,0,17,48,178.74,15.26,40.28,1
DC-03,SKU-010,reefer,0,0,0,37.83,1.189,44.99,1.8745,22,0.0,0.0,4,0,11,36,89.98,-89.98,0.0,1
DC-03,SKU-003,antiviral,140,0,140,61.09,0.734,44.85,1.8689,22,3.121,3.12,3,0,9,12,89.71,50.29,48.0,0
DC-05,SKU-002,reefer,0,95,95,93.87,0.814,76.42,3.1843,38,1.243,1.24,4,0,18,18,152.85,-57.85,17.9,1
DC-05,SKU-002,reefer,37,0,37,11.08,0.972,10.77,0.4489,5,3.435,3.43,4,0,22,36,21.55,15.45,48.0,0
DC-02,SKU-010,reefer,231,51,282,109.1,0.857,93.45,3.8938,46,3.018,3.02,4,0,22,12,186.9,95.1,48.0,0
DC-02,SKU-003,antiviral,300,42,342,80.95,1.338,108.33,4.5139,54,3.157,3.16,1,0,19,18,216.67,125.33,48.0,0
DC-02,SKU-013,reefer,59,15,74,38.67,1.486,57.45,2.3937,28,1.288,1.29,6,1,7,6,114.9,-40.9,19.22,1
DC-05,SKU-001,cardiac,79,9,88,37.17,0.724,26.92,1.1215,13,3.269,3.27,2,0,9,18,53.83,34.17,48.0,0
DC-03,SKU-010,reefer,115,11,126,51.49,0.853,43.92,1.83,21,2.869,2.87,3,0,21,12,87.84,38.16,48.0,0
DC-04,SKU-014,antibiotic,155,0,155,95.14,0.811,77.17,3.2156,38,2.008,2.01,6,1,22,18,154.35,0.65,36.39,1
DC-03,SKU-011,cardiac,71,0,71,26.02,0.937,24.38,1.0156,12,2.913,2.91,1,0,2,36,48.75,22.25,48.0,1
DC-05,SKU-013,reefer,75,0,75,21.14,0.954,20.16,0.8402,10,3.72,3.72,1,0,12,12,40.33,34.67,48.0,0
DC-01,SKU-011,cardiac,94,172,266,111.06,1.467,162.97,6.7905,81,1.632,1.63,6,1,23,24,325.94,-59.94,27.24,1
DC-05,SKU-015,cardiac,289,70,359,67.05,0.902,60.5,2.5209,30,5.934,5.93,3,0,14,12,121.0,238.0,48.0,0
DC-05,SKU-009,antiviral,28,0,28,21.66,1.272,27.55,1.1478,13,1.016,1.02,6,1,10,24,55.09,-27.09,13.07,1
DC-05,SKU-015,cardiac,101,0,101,73.22,1.051,76.94,3.2058,38,1.313,1.31,4,0,4,24,153.88,-52.88,19.65,1
DC-04,SKU-013,reefer,359,0,359,118.32,1.287,152.26,6.3443,76,2.358,2.36,1,0,9,18,304.52,54.48,44.61,1
DC-04,SKU-009,antiviral,10,103,113,53.77,1.077,57.93,2.4137,28,1.951,1.95,4,0,2,18,115.86,-2.86,35.21,1
DC-02,SKU-002,reefer,161,56,217,70.58,1.218,85.95,3.5812,42,2.525,2.52,2,0,17,12,171.9,45.1,48.0,0
DC-05,SKU-008,antiviral,24,0,24,15.34,1.001,15.35,0.6396,7,1.563,1.56,1,0,8,36,30.7,-6.7,26.58,1
